unifs_originalFP;unifs_ecceFP;var0;var1;formula
6;13;_;true;Var (S (O))
4;9;true;_;Var (O)
9;15;_;false;Neg (Var (S (O)))
7;11;false;_;Neg (Var (O))
12;17;_;true;Neg (Neg (Var (S (O))))
10;13;true;_;Neg (Neg (Var (O)))
15;19;_;false;Neg (Neg (Neg (Var (S (O)))))
13;15;false;_;Neg (Neg (Neg (Var (O))))
18;21;_;true;Neg (Neg (Neg (Neg (Var (S (O))))))
16;17;true;_;Neg (Neg (Neg (Neg (Var (O)))))
21;23;_;false;Neg (Neg (Neg (Neg (Neg (Var (S (O)))))))
19;19;false;_;Neg (Neg (Neg (Neg (Neg (Var (O))))))
26;29;true;true;Neg (Neg (Neg (Neg (Conj (Var (S (O)), Var (O))))))
26;29;true;true;Neg (Neg (Neg (Neg (Conj (Var (O), Var (S (O)))))))
24;25;true;_;Neg (Neg (Neg (Neg (Conj (Var (O), Var (O))))))
25;31;_;false;Neg (Neg (Neg (Disj (Var (S (O)), Var (S (O))))))
23;27;false;false;Neg (Neg (Neg (Disj (Var (S (O)), Var (O)))))
23;27;false;false;Neg (Neg (Neg (Disj (Var (O), Var (S (O))))))
21;23;false;_;Neg (Neg (Neg (Disj (Var (O), Var (O)))))
26;29;false;true;Neg (Neg (Neg (Disj (Var (O), Neg (Var (S (O)))))))
23;30;true;false;Neg (Neg (Neg (Conj (Var (S (O)), Var (O)))))
23;30;false;true;Neg (Neg (Neg (Conj (Var (S (O)), Var (O)))))
23;30;false;false;Neg (Neg (Neg (Conj (Var (S (O)), Var (O)))))
23;30;true;false;Neg (Neg (Neg (Conj (Var (O), Var (S (O))))))
23;30;false;true;Neg (Neg (Neg (Conj (Var (O), Var (S (O))))))
23;30;false;false;Neg (Neg (Neg (Conj (Var (O), Var (S (O))))))
21;26;false;_;Neg (Neg (Neg (Conj (Var (O), Var (O)))))
24;28;false;_;Neg (Neg (Neg (Conj (Var (O), Neg (Var (O))))))
22;32;_;true;Neg (Neg (Disj (Var (S (O)), Var (S (O)))))
20;28;true;true;Neg (Neg (Disj (Var (S (O)), Var (O))))
20;28;true;false;Neg (Neg (Disj (Var (S (O)), Var (O))))
20;28;false;true;Neg (Neg (Disj (Var (S (O)), Var (O))))
23;30;false;true;Neg (Neg (Disj (Var (S (O)), Neg (Var (O)))))
28;36;true;true;Neg (Neg (Disj (Var (S (O)), Conj (Var (O), Var (O)))))
20;28;true;true;Neg (Neg (Disj (Var (O), Var (S (O)))))
20;28;true;false;Neg (Neg (Disj (Var (O), Var (S (O)))))
20;28;false;true;Neg (Neg (Disj (Var (O), Var (S (O)))))
18;24;true;_;Neg (Neg (Disj (Var (O), Var (O))))
23;30;true;false;Neg (Neg (Disj (Var (O), Neg (Var (S (O))))))
21;26;true;_;Neg (Neg (Disj (Var (O), Neg (Var (O)))))
21;26;false;_;Neg (Neg (Disj (Var (O), Neg (Var (O)))))
28;36;true;true;Neg (Neg (Disj (Var (O), Conj (Var (S (O)), Var (O)))))
28;36;true;true;Neg (Neg (Disj (Var (O), Conj (Var (O), Var (S (O))))))
26;32;true;_;Neg (Neg (Disj (Var (O), Conj (Var (O), Var (O)))))
23;30;false;true;Neg (Neg (Disj (Neg (Var (O)), Var (S (O)))))
22;29;_;true;Neg (Neg (Conj (Var (S (O)), Var (S (O)))))
20;25;true;true;Neg (Neg (Conj (Var (S (O)), Var (O))))
23;27;false;true;Neg (Neg (Conj (Var (S (O)), Neg (Var (O)))))
26;29;true;true;Neg (Neg (Conj (Var (S (O)), Neg (Neg (Var (O))))))
28;36;true;true;Neg (Neg (Conj (Var (S (O)), Disj (Var (O), Var (O)))))
32;41;_;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))))
30;37;true;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (S (O)), Var (O)))))
30;37;true;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (O), Var (S (O))))))
28;33;true;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (O), Var (O)))))
36;41;true;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))))
20;25;true;true;Neg (Neg (Conj (Var (O), Var (S (O)))))
18;21;true;_;Neg (Neg (Conj (Var (O), Var (O))))
23;27;true;false;Neg (Neg (Conj (Var (O), Neg (Var (S (O))))))
26;29;true;true;Neg (Neg (Conj (Var (O), Neg (Neg (Var (S (O)))))))
24;25;true;_;Neg (Neg (Conj (Var (O), Neg (Neg (Var (O))))))
31;38;true;false;Neg (Neg (Conj (Var (O), Neg (Conj (Var (S (O)), Var (O))))))
28;36;true;true;Neg (Neg (Conj (Var (O), Disj (Var (S (O)), Var (O)))))
28;36;true;false;Neg (Neg (Conj (Var (O), Disj (Var (S (O)), Var (O)))))
28;36;true;true;Neg (Neg (Conj (Var (O), Disj (Var (O), Var (S (O))))))
26;32;true;_;Neg (Neg (Conj (Var (O), Disj (Var (O), Var (O)))))
30;37;true;true;Neg (Neg (Conj (Var (O), Conj (Var (S (O)), Var (S (O))))))
28;33;true;true;Neg (Neg (Conj (Var (O), Conj (Var (S (O)), Var (O)))))
36;41;true;true;Neg (Neg (Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O))))))
28;33;true;true;Neg (Neg (Conj (Var (O), Conj (Var (O), Var (S (O))))))
26;29;true;_;Neg (Neg (Conj (Var (O), Conj (Var (O), Var (O)))))
31;35;true;false;Neg (Neg (Conj (Var (O), Conj (Var (O), Neg (Var (S (O)))))))
36;41;true;true;Neg (Neg (Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O))))))
36;41;true;true;Neg (Neg (Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O)))))))
34;37;true;_;Neg (Neg (Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O))))))
34;37;true;_;Neg (Neg (Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (O)))))
23;27;true;false;Neg (Neg (Conj (Neg (Var (S (O))), Var (O))))
23;27;false;true;Neg (Neg (Conj (Neg (Var (O)), Var (S (O)))))
26;29;false;false;Neg (Neg (Conj (Neg (Var (O)), Neg (Var (S (O))))))
24;25;false;_;Neg (Neg (Conj (Neg (Var (O)), Neg (Var (O)))))
33;39;false;true;Neg (Neg (Conj (Neg (Var (O)), Conj (Var (S (O)), Var (S (O))))))
28;33;true;true;Neg (Neg (Conj (Conj (Var (O), Var (O)), Var (S (O)))))
26;29;true;_;Neg (Neg (Conj (Conj (Var (O), Var (O)), Var (O))))
34;37;true;_;Neg (Neg (Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))))
19;27;_;false;Neg (Disj (Var (S (O)), Var (S (O))))
17;23;false;false;Neg (Disj (Var (S (O)), Var (O)))
20;25;true;false;Neg (Disj (Var (S (O)), Neg (Var (O))))
25;31;_;false;Neg (Disj (Var (S (O)), Neg (Neg (Var (S (O))))))
23;27;false;false;Neg (Disj (Var (S (O)), Neg (Neg (Var (O)))))
28;33;true;false;Neg (Disj (Var (S (O)), Neg (Conj (Var (O), Var (O)))))
29;39;_;false;Neg (Disj (Var (S (O)), Disj (Var (S (O)), Var (S (O)))))
27;35;false;false;Neg (Disj (Var (S (O)), Disj (Var (S (O)), Var (O))))
27;35;false;false;Neg (Disj (Var (S (O)), Disj (Var (O), Var (S (O)))))
25;31;false;false;Neg (Disj (Var (S (O)), Disj (Var (O), Var (O))))
27;38;true;false;Neg (Disj (Var (S (O)), Conj (Var (S (O)), Var (O))))
27;38;false;false;Neg (Disj (Var (S (O)), Conj (Var (S (O)), Var (O))))
27;38;true;false;Neg (Disj (Var (S (O)), Conj (Var (O), Var (S (O)))))
27;38;false;false;Neg (Disj (Var (S (O)), Conj (Var (O), Var (S (O)))))
25;34;false;false;Neg (Disj (Var (S (O)), Conj (Var (O), Var (O))))
28;36;false;false;Neg (Disj (Var (S (O)), Conj (Var (O), Neg (Var (O)))))
17;23;false;false;Neg (Disj (Var (O), Var (S (O))))
15;19;false;_;Neg (Disj (Var (O), Var (O)))
20;25;false;true;Neg (Disj (Var (O), Neg (Var (S (O)))))
23;27;false;false;Neg (Disj (Var (O), Neg (Neg (Var (S (O))))))
21;23;false;_;Neg (Disj (Var (O), Neg (Neg (Var (O)))))
26;29;false;true;Neg (Disj (Var (O), Neg (Neg (Neg (Var (S (O)))))))
30;37;false;true;Neg (Disj (Var (O), Neg (Conj (Var (S (O)), Var (S (O))))))
31;35;false;true;Neg (Disj (Var (O), Neg (Conj (Var (S (O)), Neg (Var (O))))))
31;35;false;true;Neg (Disj (Var (O), Neg (Conj (Neg (Var (O)), Var (S (O))))))
27;35;false;false;Neg (Disj (Var (O), Disj (Var (S (O)), Var (S (O)))))
25;31;false;false;Neg (Disj (Var (O), Disj (Var (S (O)), Var (O))))
25;31;false;false;Neg (Disj (Var (O), Disj (Var (O), Var (S (O)))))
23;27;false;_;Neg (Disj (Var (O), Disj (Var (O), Var (O))))
28;33;false;true;Neg (Disj (Var (O), Disj (Var (O), Neg (Var (S (O))))))
31;35;false;_;Neg (Disj (Var (O), Disj (Var (O), Disj (Var (O), Var (O)))))
27;38;false;false;Neg (Disj (Var (O), Conj (Var (S (O)), Var (S (O)))))
25;34;false;true;Neg (Disj (Var (O), Conj (Var (S (O)), Var (O))))
25;34;false;false;Neg (Disj (Var (O), Conj (Var (S (O)), Var (O))))
28;36;false;false;Neg (Disj (Var (O), Conj (Var (S (O)), Neg (Var (O)))))
25;34;false;true;Neg (Disj (Var (O), Conj (Var (O), Var (S (O)))))
25;34;false;false;Neg (Disj (Var (O), Conj (Var (O), Var (S (O)))))
23;30;false;_;Neg (Disj (Var (O), Conj (Var (O), Var (O))))
28;36;false;true;Neg (Disj (Var (O), Conj (Var (O), Neg (Var (S (O))))))
28;36;false;false;Neg (Disj (Var (O), Conj (Var (O), Neg (Var (S (O))))))
26;32;false;_;Neg (Disj (Var (O), Conj (Var (O), Neg (Var (O)))))
35;46;false;true;Neg (Disj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (S (O))))))
28;36;false;false;Neg (Disj (Var (O), Conj (Neg (Var (O)), Var (S (O)))))
26;32;false;_;Neg (Disj (Var (O), Conj (Neg (Var (O)), Var (O))))
20;25;false;true;Neg (Disj (Neg (Var (S (O))), Var (O)))
25;31;_;true;Neg (Disj (Neg (Var (S (O))), Neg (Var (S (O)))))
23;27;true;true;Neg (Disj (Neg (Var (S (O))), Neg (Var (O))))
28;33;false;true;Neg (Disj (Neg (Var (S (O))), Disj (Var (O), Var (O))))
20;25;true;false;Neg (Disj (Neg (Var (O)), Var (S (O))))
23;27;true;true;Neg (Disj (Neg (Var (O)), Neg (Var (S (O)))))
21;23;true;_;Neg (Disj (Neg (Var (O)), Neg (Var (O))))
29;31;true;_;Neg (Disj (Neg (Var (O)), Neg (Conj (Var (O), Var (O)))))
30;37;true;false;Neg (Disj (Neg (Var (O)), Disj (Var (S (O)), Var (S (O)))))
28;36;true;false;Neg (Disj (Neg (Var (O)), Conj (Var (S (O)), Var (O))))
25;31;false;false;Neg (Disj (Disj (Var (O), Var (O)), Var (S (O))))
23;27;false;_;Neg (Disj (Disj (Var (O), Var (O)), Var (O)))
19;30;_;false;Neg (Conj (Var (S (O)), Var (S (O))))
17;26;true;false;Neg (Conj (Var (S (O)), Var (O)))
17;26;false;true;Neg (Conj (Var (S (O)), Var (O)))
17;26;false;false;Neg (Conj (Var (S (O)), Var (O)))
22;32;_;true;Neg (Conj (Var (S (O)), Neg (Var (S (O)))))
22;32;_;false;Neg (Conj (Var (S (O)), Neg (Var (S (O)))))
20;28;true;true;Neg (Conj (Var (S (O)), Neg (Var (O))))
20;28;true;false;Neg (Conj (Var (S (O)), Neg (Var (O))))
20;28;false;false;Neg (Conj (Var (S (O)), Neg (Var (O))))
23;30;true;false;Neg (Conj (Var (S (O)), Neg (Neg (Var (O)))))
23;30;false;true;Neg (Conj (Var (S (O)), Neg (Neg (Var (O)))))
23;30;false;false;Neg (Conj (Var (S (O)), Neg (Neg (Var (O)))))
28;36;false;false;Neg (Conj (Var (S (O)), Neg (Disj (Var (O), Var (O)))))
28;36;true;true;Neg (Conj (Var (S (O)), Neg (Conj (Var (O), Var (O)))))
28;36;true;false;Neg (Conj (Var (S (O)), Neg (Conj (Var (O), Var (O)))))
27;38;false;false;Neg (Conj (Var (S (O)), Disj (Var (S (O)), Var (O))))
27;38;false;false;Neg (Conj (Var (S (O)), Disj (Var (O), Var (S (O)))))
25;37;true;false;Neg (Conj (Var (S (O)), Disj (Var (O), Var (O))))
25;34;false;true;Neg (Conj (Var (S (O)), Disj (Var (O), Var (O))))
25;34;false;false;Neg (Conj (Var (S (O)), Disj (Var (O), Var (O))))
27;41;true;false;Neg (Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
27;41;false;true;Neg (Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
25;34;true;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
25;37;false;true;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
25;37;false;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
30;40;true;false;Neg (Conj (Var (S (O)), Conj (Var (O), Neg (Var (S (O))))))
33;42;true;false;Neg (Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O)))))
31;38;false;false;Neg (Conj (Var (S (O)), Conj (Neg (Var (O)), Neg (Var (O)))))
33;42;true;false;Neg (Conj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Var (O))))
17;26;true;false;Neg (Conj (Var (O), Var (S (O))))
17;26;false;true;Neg (Conj (Var (O), Var (S (O))))
17;26;false;false;Neg (Conj (Var (O), Var (S (O))))
15;22;false;_;Neg (Conj (Var (O), Var (O)))
20;28;true;true;Neg (Conj (Var (O), Neg (Var (S (O)))))
20;28;false;true;Neg (Conj (Var (O), Neg (Var (S (O)))))
20;28;false;false;Neg (Conj (Var (O), Neg (Var (S (O)))))
18;24;true;_;Neg (Conj (Var (O), Neg (Var (O))))
18;24;false;_;Neg (Conj (Var (O), Neg (Var (O))))
23;30;true;false;Neg (Conj (Var (O), Neg (Neg (Var (S (O))))))
23;30;false;true;Neg (Conj (Var (O), Neg (Neg (Var (S (O))))))
23;30;false;false;Neg (Conj (Var (O), Neg (Neg (Var (S (O))))))
21;26;false;_;Neg (Conj (Var (O), Neg (Neg (Var (O)))))
24;28;false;_;Neg (Conj (Var (O), Neg (Neg (Neg (Var (O))))))
28;36;false;false;Neg (Conj (Var (O), Neg (Disj (Var (S (O)), Var (O)))))
28;36;false;false;Neg (Conj (Var (O), Neg (Disj (Var (O), Var (S (O))))))
26;32;false;_;Neg (Conj (Var (O), Neg (Disj (Var (O), Var (O)))))
30;40;false;true;Neg (Conj (Var (O), Neg (Conj (Var (S (O)), Var (S (O))))))
